ID|Code|IDPlayer|RealName|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro|Country
1955|B699|Bo/M/Matias-Boeker|Matias Boeker|11|12|1980|-1|-1|1|-1|United States
1956|S381|Si/J/Jan-Siemerink|Jan Siemerink|14|4|1970|183|73|0|1989|Netherlands
1957|W614|Wa/C/Chuhan-Wang|Wang Chuhan|24|2|1992|190|75|1|-1|China
1958|B696|Bi/V/Vladimir-Bistryavichus|Vladimir Bistryavichus|9|9|1980|-1|-1|1|-1|Uzbekistan
1959|W617|Wh/Z/Zachary-White|Zachary White|26|2|1991|-1|-1|-1|-1|Canada
1960|B693|Bo/C/Christophe-Bosio|Christophe Bosio|11|4|1977|-1|-1|1|-1|France
1961|B692|Be/I/Ivan-Beros|Ivan Beros|30|12|1979|-1|-1|1|-1|Croatia
1962|O252|Ou/S/Scott-Oudsema|Scott Oudsema|1|7|1986|190|67|1|-1|United States
1963|O253|Ol/D/Dawid-Olejniczak|Dawid Olejniczak|1|3|1983|-1|-1|1|-1|Poland
1964|K740|Ko/S/Steven-Korteling|Steven Korteling|16|1|1984|-1|-1|-1|-1|Netherlands
1965|B457|Ba/S/Scott-Barron|Scott Barron|27|8|1974|-1|79|1|-1|Ireland
1966|PD83|Pr/M/Martin-Prikryl|Martin Prikryl|10|6|1992|-1|-1|-1|-1|Czech Republic
1967|K748|Kw/H/Hyung-Tae-Kwon|Hyung Tae Kwon|26|5|1984|-1|-1|-1|-1|Korea, Republic of
1968|K984|Ke/E/Edward-Ted-Kelly|Edward Ted Kelly|24|10|1987|-1|-1|-1|-1|United States
1969|W291|Wa/Y/Yu-Jr-Wang|Yu Jr Wang|1|8|1981|-1|-1|0|-1|China
1970|W292|Wu/J/Jeremy-Wurtzman|Jeremy Wurtzman|20|12|1981|-1|-1|1|-1|United States
1971|K980|Ka/R/Reda-Karakhi|Reda Karakhi|23|8|1991|-1|-1|-1|-1|Morocco
1972|K981|Ki/H/Hyun-Joon-Kim|Hyun Joon Kim|27|10|1987|-1|-1|0|-1|Korea, Republic of
1973|G858|Top-Players/Ernests-Gulbis|Ernests Gulbis|30|8|1988|190|85|1|2004|Latvia
1974|H465|Ha/P/Phillip-Harboe|Phillip Harboe|20|7|1982|-1|-1|1|-1|Chile
1975|S709|Se/J/Johan-Settergren|Johan Settergren|22|4|1978|185|77|1|1997|Sweden
1976|D539|Da/D/Danny-Dauber|Danny Dauber|-1|-1|-1|-1|-1|-1|-1|Venezuela
1977|PC78|Pa/A/Ante-Pavic|Ante Pavić|7|3|1989|196|96|1|-1|Croatia
1978|D829|Da/A/Andrei-Daescu|Andrei Dăescu|28|8|1988|-1|-1|-1|-1|Romania
1979|PC76|Pr/B/Bjorn-Propst|Bjorn Propst|5|6|1987|-1|-1|-1|-1|Austria
1980|S703|Sa/M/Mariano-Sanchez|Mariano Sanchez|3|7|1978|-1|-1|1|-1|Mexico
1981|L622|Le/F/Felipe-Lemos|Felipe Lemos|-1|-1|-1|-1|-1|-1|-1|Brazil
1982|D289|De/J/Jamie-Delgado|Jamie Delgado|21|3|1977|178|70|1|1995|Great Britain
1983|D530|De/D/David-Demers|David Demers|22|6|1981|-1|-1|-1|-1|Germany
1984|PC73|Pe/H/Hsien-Yin-Peng|Hsien Yin Peng|22|12|1989|-1|-1|-1|-1|CHINESE TAIPEI ( TAIWAN )
1985|D532|Do/M/Minh-Quan-Do|Đỗ Minh Quân|7|1|1984|-1|-1|-1|-1|Viet Nam
1986|D821|De/A/Aaron-De-Leon|Aaron De Leon|14|1|1978|-1|-1|-1|-1|United States
1987|H848|Ha/K/Kiryl-Harbatsiuk|Kiryl Harbatsiuk|4|2|1988|-1|-1|-1|-1|Belarus
1988|BB68|Ba/S/Stephen-Bass|Stephen Bass|13|4|1985|-1|-1|-1|-1|United States
1989|S564|Sa/J/Jeff-Salzenstein|Jeff Salzenstein|14|10|1973|185|79|0|1996|United States
1990|S568|Sq/F/Franco-Squillari|Franco Squillari|22|8|1975|183|80|0|1994|Argentina
